booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-035978,Resort Hotel,0,261,2025,April,18,30,2025-04-30,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,42.95,0,1
HB-004892,Resort Hotel,1,85,2024,April,14,7,2024-04-07,0,3,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,67.0,,0,Transient-Party,64.0,0,0
HB-076102,City Hotel,1,364,2023,October,42,16,2023-10-16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0
HB-102752,City Hotel,0,32,2024,December,49,4,2024-12-04,2,0,1,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,114.0,0,0
HB-069831,City Hotel,1,126,2025,June,23,7,2025-06-07,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,89.1,0,1
HB-027812,Resort Hotel,0,287,2024,September,36,5,2024-09-05,2,5,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,Refundable,418.0,,0,Transient-Party,69.0,0,0
HB-068026,City Hotel,1,183,2025,May,19,11,2025-05-11,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,130.0,0,0
HB-082131,City Hotel,1,99,2024,February,8,19,2024-02-19,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,No Deposit,,67.0,0,Transient-Party,80.0,0,0
HB-105748,City Hotel,0,36,2025,February,7,14,2025-02-14,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,100.0,0,1
HB-029062,Resort Hotel,0,72,2024,October,42,16,2024-10-16,2,2,1,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,54.0,0,0
HB-080585,City Hotel,0,1,2023,November,47,20,2023-11-20,4,10,1,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,D,D,3,No Deposit,9.0,,0,Transient,117.43,0,1
HB-034625,Resort Hotel,0,77,2025,March,13,26,2025-03-26,2,3,2,0.0,0,HB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,95.2,0,3
